"speaker","text","voice","face","motion"
"marisa","……あー、これは面倒だな。","","",""
"sakuya","今さら？","","",""
"marisa","いや、さっきからずっとだ。 ただ、今は特に。","","",""
"sakuya","判断が遅いわね。","","",""
"marisa","遅い方が長生きすることもある。","","",""
"sakuya","この場合は当てはまらない。","","",""
"marisa","そうかい。じゃあ、短命だな。","","",""
"marisa","ちょ、タイム。タンマだ。","","",""
"sakuya","あなたの辞書に『時間停止』なんて言葉があったかしら？","","",""
"marisa","あいにく、私の辞書は他人の家から借りてきたもんでな。中身を確認してないんだよ。","","",""
"sakuya","そう。なら、その辞書の持ち主はきっと短命だったでしょうね。","","",""
"marisa","……へえ、なんでだ？","","",""
"marisa","うおっ、っと！おいおい、銀食器の無駄使いだぜ。もったいない精神とかないのか？","","",""
"sakuya","使い捨てじゃないわ。リサイクルよ。","","",""
"marisa","リサイクル？","","",""
"sakuya","ええ。あなたの命が土に還れば、また新しい鉱脈になるもの。","","",""
"marisa","錬金術でも聞いたことない等価交換だな。割に合わないぜ、主に私が。","","",""
"marisa","ゼェ、ゼェ……。しっかし、今日はナイフの切れ味が良すぎないか？服の裾がボロボロだ。","","",""
"sakuya","粗大ごみを解体するには、相応の道具が必要だもの。","","",""
"marisa","私は燃えないゴミかよ。","","",""
"marisa","熱いのは御免だぜ。","","",""
