"speaker","text","expressions"
"sakuya","……っ",""
"reimu","あら。 さっきよりナイフの飛び方が素直ね",""
"sakuya","勘違いしないで。 これは、整理しているだけよ",""
"reimu","整理？ 随分派手な整理ね",""
"sakuya","弾幕は美しくなければ意味がないもの",""
"reimu","でも当たらなきゃ、 掃除にもならないわよ？",""
"sakuya","……減らず口",""
"reimu","事実でしょ。 時間止めないの？",""
"sakuya","簡単に切る手札じゃないわ",""
"reimu","さっきは“止めてでも”って言ってたのに",""
"sakuya","使う価値がある相手か、見極めているの",""
"reimu","もう十分、見たと思うけど",""
"sakuya","……確かに、 思ったより厄介ね",""
"reimu","今さら？",""
"sakuya","ええ。 巫女は大抵、型通りだから",""
"reimu","私は型破りなのよ。 賽銭箱と同じで",""
"sakuya","それ、誇る所じゃないでしょう",""
"reimu","神社は気合よ",""
"sakuya","気合だけで、この弾幕を潜るなんて……",""
"reimu","信仰心の差ね",""
"sakuya","……本当に腹が立つ言い方",""
"reimu","まだ余裕ある？",""
"sakuya","……少しだけ",""
"reimu","じゃあ、その少し、削ってあげる",""
"reimu","戦闘中汎用に追加 「お嬢様…」「少々困りました",""
