"speaker","text","expressions"
"sanae","くっ……！ さすがは霊夢さんですね。 これだけ広範囲に奇跡を展開しているのに、まるで隙が見当たらないなんて",""
"reimu","あんたの弾幕、なんだか見ていて肩が凝るわ。",""
"sanae","これは効率的な神徳の具現化です！ 外の世界では、物事はもっとシステマチックに……あ、いえ、 とにかく、無駄を省いた術式の方が、今の時代には合っているんですよ",""
"reimu","効率ねぇ。弾幕なんて、当たりさえすれば何でもいいじゃない。 あんた、さっきから私の動きを先読みしようとしてるみたいだけど、 そんなの時間の無駄よ。私自身、次にどこへ動くかなんて考えてないんだから",""
"sanae","……考えずに動いて、どうして私のスペルカードを全て避けてしまうんですか？ 今のなんて、確率論的に言っても回避困難な密度だったはずなのに！",""
"reimu","そんなの、そこに隙間があったからでしょう。 大体、神様を祀る側の人間が、あんまり数字だの確率だの言わない方がいいわよ。 うちの神様なんて、力があるんだか無いんだか判らないけど、もっと大雑把よ",""
"sanae","うう、霊夢さんはいつもそう……。 その『なんとなく』で現人神の力を凌駕してしまうのが、私には納得いかないんです。 もっとこう、奇跡にはプロセスというものが必要でしょう？",""
"reimu","プロセスが必要なのは、あんたが奇跡を『起こそう』としてるからじゃない？ 私にとっては、飛んでくるお札も避ける体も、ただそこにあるだけのものよ。 ほら、そんなに考え込んでたら、次のお札が行くわよ",""
"sanae","わわっ！ ……はぁ、はぁ。 やっぱり強い……。これほどの力がありながら、 どうして博麗神社にはまともに参拝客が来ないのか、本気で不思議になってきました",""
"reimu","それは私が一番知りたいわよ。 あんたのところの分社を置くとか置かないとか、そんな話もあったけど、参拝客は変わりなしね。",""
